"INDICATOR","HFA_387"

"HFA_387","Incidence of mental disorders per 100 000"

"UNIT_TYPE","Unit"
"CASES_100K","cases per 100 000 population"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ARM","","ALL","1980","87.82"
"ARM","","ALL","1981","109.55"
"ARM","","ALL","1982","70.58"
"ARM","","ALL","1983","82.72"
"ARM","","ALL","1984","76.44"
"ARM","","ALL","1985","67.15"
"ARM","","ALL","1986","82.13"
"ARM","","ALL","1987","80.15"
"ARM","","ALL","1988","59.84"
"ARM","","ALL","1989","50.93"
"ARM","","ALL","1990","93.03"
"ARM","","ALL","1991","45.16"
"ARM","","ALL","1992","55.95"
"ARM","","ALL","1993","67.24"
"ARM","","ALL","1994","48.26"
"ARM","","ALL","1995","37.24"
"ARM","","ALL","1996","46.63"
"ARM","","ALL","1997","40.17"
"ARM","","ALL","1998","46.45"
"ARM","","ALL","1999","46.87"
"ARM","","ALL","2000","39.82"
"ARM","","ALL","2001","40.77"
"ARM","","ALL","2002","43.92"
"ARM","","ALL","2003","47.89"
"ARM","","ALL","2004","61.6"
"ARM","","ALL","2005","77.73"
"ARM","","ALL","2006","78.05"
"ARM","","ALL","2007","73.95"
"ARM","","ALL","2008","77.15"
"ARM","","ALL","2009","82.9"
"ARM","","ALL","2010","108.97"
"ARM","","ALL","2011","90.44"
"ARM","","ALL","2012","98.21"
"ARM","","ALL","2013","89.28"
"ARM","","ALL","2014","59.48"
"ARM","","ALL","2015","64.98"
"ARM","","ALL","2016","55.58"
"ARM","","ALL","2017","85.89"
"ARM","","ALL","2018","65.04"
"ARM","","ALL","2019","73.69"
"AZE","","ALL","1990","54.87"
"AZE","","ALL","1991","48.22"
"AZE","","ALL","1992","55.36"
"AZE","","ALL","1993","62.04"
"AZE","","ALL","1994","36.58"
"AZE","","ALL","1995","30.9"
"AZE","","ALL","1996","38.1"
"AZE","","ALL","1997","46.26"
"AZE","","ALL","1998","54.52"
"AZE","","ALL","1999","56.17"
"AZE","","ALL","2000","85.82"
"AZE","","ALL","2001","67.56"
"AZE","","ALL","2002","72.48"
"AZE","","ALL","2003","76.17"
"AZE","","ALL","2004","67.3"
"AZE","","ALL","2005","66.97"
"AZE","","ALL","2006","69.56"
"AZE","","ALL","2007","70.96"
"AZE","","ALL","2008","58.7"
"AZE","","ALL","2009","64.3"
"AZE","","ALL","2010","55.05"
"AZE","","ALL","2011","55.7"
"AZE","","ALL","2012","53.23"
"AZE","","ALL","2013","52.08"
"AZE","","ALL","2014","44.4"
"AZE","","ALL","2015","52.93"
"AZE","","ALL","2016","39.14"
"AZE","","ALL","2017","52.63"
"BEL","","ALL","2004","629.78"
"BGR","","ALL","1980","41.72"
"BGR","","ALL","1981","46.51"
"BGR","","ALL","1982","49.51"
"BGR","","ALL","1983","52.34"
"BGR","","ALL","1984","51.58"
"BGR","","ALL","1985","44.99"
"BGR","","ALL","1986","64.25"
"BGR","","ALL","1987","51.24"
"BGR","","ALL","1988","47.68"
"BGR","","ALL","1989","47.36"
"BGR","","ALL","1990","32.56"
"BGR","","ALL","1991","29.44"
"BGR","","ALL","1992","33.68"
"BGR","","ALL","1993","37.48"
"BGR","","ALL","1994","37.12"
"BGR","","ALL","1995","33.45"
"BGR","","ALL","1996","31.76"
"BGR","","ALL","1997","31.48"
"BGR","","ALL","1998","32.42"
"BGR","","ALL","1999","30.53"
"BGR","","ALL","2000","31.85"
"BGR","","ALL","2001","37.59"
"BGR","","ALL","2002","44.05"
"BGR","","ALL","2003","54.12"
"BGR","","ALL","2004","39.42"
"BGR","","ALL","2005","12.75"
"BGR","","ALL","2006","9.95"
"BGR","","ALL","2007","7.94"
"BGR","","ALL","2008","12.09"
"BGR","","ALL","2009","11.18"
"BGR","","ALL","2010","8.89"
"BGR","","ALL","2011","10.19"
"BGR","","ALL","2012","7.45"
"BGR","","ALL","2013","12.25"
"BGR","","ALL","2014","14.97"
"BGR","","ALL","2015","10.43"
"BGR","","ALL","2016","14.74"
"BGR","","ALL","2017","19.08"
"BGR","","ALL","2018","14.29"
"BGR","","ALL","2019","13.65"
"BLR","","ALL","1993","100.15"
"BLR","","ALL","1994","113.62"
"BLR","","ALL","1995","115"
"BLR","","ALL","1996","114.88"
"BLR","","ALL","1997","117.77"
"BLR","","ALL","1998","118.25"
"BLR","","ALL","1999","117.75"
"BLR","","ALL","2000","108.78"
"BLR","","ALL","2001","113.8"
"BLR","","ALL","2002","127.72"
"BLR","","ALL","2003","127.65"
"BLR","","ALL","2004","145.3"
"BLR","","ALL","2005","160.71"
"BLR","","ALL","2006","189.05"
"BLR","","ALL","2007","192.21"
"BLR","","ALL","2008","717.11"
"BLR","","ALL","2009","773.23"
