"INDICATOR","HFAMDB_667"

"HFAMDB_667","Mental and behavioural disorders, per 100 000 population, by sex (age-standardized death rate)"

"UNIT_TYPE","Unit"
"DTH_100K","deaths per 100 000"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATE","Rate"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","1987","0"
"ALB","","TOTAL","FEMALE","1988","0"
"ALB","","TOTAL","FEMALE","1989","0"
"ALB","","TOTAL","FEMALE","1992","0"
"ALB","","TOTAL","FEMALE","1993","4.06"
"ALB","","TOTAL","FEMALE","1994","4.81"
"ALB","","TOTAL","FEMALE","1995","3.47"
"ALB","","TOTAL","FEMALE","1996","2.67"
"ALB","","TOTAL","FEMALE","1997","2.43"
"ALB","","TOTAL","FEMALE","1998","3.81"
"ALB","","TOTAL","FEMALE","1999","1.45"
"ALB","","TOTAL","FEMALE","2000","2.7"
"ALB","","TOTAL","FEMALE","2001","4.79"
"ALB","","TOTAL","FEMALE","2002","3.27"
"ALB","","TOTAL","FEMALE","2003","2.99"
"ALB","","TOTAL","FEMALE","2004","4.78"
"ALB","","TOTAL","FEMALE","2005","5.68"
"ALB","","TOTAL","FEMALE","2006","3.64"
"ALB","","TOTAL","FEMALE","2007","1.58"
"ALB","","TOTAL","FEMALE","2008","1.82"
"ALB","","TOTAL","FEMALE","2009","1.61"
"ARM","","TOTAL","FEMALE","1981","1.31"
"ARM","","TOTAL","FEMALE","1982","0.44"
"ARM","","TOTAL","FEMALE","1985","2.77"
"ARM","","TOTAL","FEMALE","1986","1.34"
"ARM","","TOTAL","FEMALE","1987","1.15"
"ARM","","TOTAL","FEMALE","1988","1.26"
"ARM","","TOTAL","FEMALE","1989","2.07"
"ARM","","TOTAL","FEMALE","1990","1.52"
"ARM","","TOTAL","FEMALE","1991","2.36"
"ARM","","TOTAL","FEMALE","1992","1.75"
"ARM","","TOTAL","FEMALE","1993","4.15"
"ARM","","TOTAL","FEMALE","1994","3.28"
"ARM","","TOTAL","FEMALE","1995","3.51"
"ARM","","TOTAL","FEMALE","1996","3.04"
"ARM","","TOTAL","FEMALE","1997","2.34"
"ARM","","TOTAL","FEMALE","1998","1.75"
"ARM","","TOTAL","FEMALE","1999","2.17"
"ARM","","TOTAL","FEMALE","2000","1.26"
"ARM","","TOTAL","FEMALE","2001","1.76"
"ARM","","TOTAL","FEMALE","2002","2.48"
"ARM","","TOTAL","FEMALE","2003","0.86"
"ARM","","TOTAL","FEMALE","2008","0.24"
"ARM","","TOTAL","FEMALE","2012","0.12"
"ARM","","TOTAL","FEMALE","2013","0.07"
"ARM","","TOTAL","FEMALE","2014","0.25"
"ARM","","TOTAL","FEMALE","2015","0.44"
"ARM","","TOTAL","FEMALE","2016","0.11"
"ARM","","TOTAL","FEMALE","2017","0.18"
"ARM","","TOTAL","FEMALE","2018","0.29"
"ARM","","TOTAL","FEMALE","2019","0.4"
"AUT","","TOTAL","FEMALE","1969","2.79"
"AUT","","TOTAL","FEMALE","1970","2.68"
"AUT","","TOTAL","FEMALE","1971","2.95"
"AUT","","TOTAL","FEMALE","1972","2.2"
"AUT","","TOTAL","FEMALE","1973","3.1"
"AUT","","TOTAL","FEMALE","1974","2.3"
"AUT","","TOTAL","FEMALE","1975","2.75"
"AUT","","TOTAL","FEMALE","1976","1.89"
"AUT","","TOTAL","FEMALE","1977","1.93"
"AUT","","TOTAL","FEMALE","1978","1.74"
"AUT","","TOTAL","FEMALE","1979","1.33"
"AUT","","TOTAL","FEMALE","1980","1.24"
"AUT","","TOTAL","FEMALE","1981","1.68"
"AUT","","TOTAL","FEMALE","1982","2.16"
"AUT","","TOTAL","FEMALE","1983","2.03"
"AUT","","TOTAL","FEMALE","1984","2.47"
"AUT","","TOTAL","FEMALE","1985","2.21"
"AUT","","TOTAL","FEMALE","1986","1.96"
"AUT","","TOTAL","FEMALE","1987","1.47"
"AUT","","TOTAL","FEMALE","1988","1.88"
"AUT","","TOTAL","FEMALE","1989","1.95"
"AUT","","TOTAL","FEMALE","1990","1.56"
"AUT","","TOTAL","FEMALE","1991","1.6"
"AUT","","TOTAL","FEMALE","1992","1.53"
"AUT","","TOTAL","FEMALE","1993","1.48"
"AUT","","TOTAL","FEMALE","1994","1.38"
"AUT","","TOTAL","FEMALE","1995","1.9"
"AUT","","TOTAL","FEMALE","1996","1.86"
"AUT","","TOTAL","FEMALE","1997","1.69"
"AUT","","TOTAL","FEMALE","1998","1.43"
"AUT","","TOTAL","FEMALE","1999","1.9"
"AUT","","TOTAL","FEMALE","2000","1.99"
"AUT","","TOTAL","FEMALE","2001","2.31"
"AUT","","TOTAL","FEMALE","2002","1.77"
"AUT","","TOTAL","FEMALE","2003","2.35"
"AUT","","TOTAL","FEMALE","2004","2.9"
"AUT","","TOTAL","FEMALE","2005","3.43"
"AUT","","TOTAL","FEMALE","2006","3.15"
"AUT","","TOTAL","FEMALE","2007","3.45"
"AUT","","TOTAL","FEMALE","2008","4.25"
"AUT","","TOTAL","FEMALE","2009","3.7"
"AUT","","TOTAL","FEMALE","2010","3.93"
"AUT","","TOTAL","FEMALE","2011","4.42"
"AUT","","TOTAL","FEMALE","2012","5.24"
"AUT","","TOTAL","FEMALE","2013","7.73"
"AUT","","TOTAL","FEMALE","2014","7.24"
"AUT","","TOTAL","FEMALE","2015","8.49"
"AUT","","TOTAL","FEMALE","2016","9.66"
"AUT","","TOTAL","FEMALE","2017","14.43"
"AUT","","TOTAL","FEMALE","2018","15.79"
"AUT","","TOTAL","FEMALE","2019","15.2"
"AUT","","TOTAL","FEMALE","2020","14.37"
"AZE","","TOTAL","FEMALE","1981","1.26"
"AZE","","TOTAL","FEMALE","1982","1.16"
"AZE","","TOTAL","FEMALE","1985","0.62"
"AZE","","TOTAL","FEMALE","1986","0.54"
"AZE","","TOTAL","FEMALE","1987","0.26"
"AZE","","TOTAL","FEMALE","1988","0.48"
"AZE","","TOTAL","FEMALE","1989","0.61"
"AZE","","TOTAL","FEMALE","1990","0.1"
"AZE","","TOTAL","FEMALE","1991","0.07"
"AZE","","TOTAL","FEMALE","1992","0.03"
"AZE","","TOTAL","FEMALE","1993","0.42"
"AZE","","TOTAL","FEMALE","1994","4.14"
"AZE","","TOTAL","FEMALE","1995","2.79"
"AZE","","TOTAL","FEMALE","1996","2.23"
"AZE","","TOTAL","FEMALE","1997","1.7"
"AZE","","TOTAL","FEMALE","1998","2.56"
"AZE","","TOTAL","FEMALE","1999","1.58"
"AZE","","TOTAL","FEMALE","2000","1.23"
"AZE","","TOTAL","FEMALE","2001","0.68"
"AZE","","TOTAL","FEMALE","2002","0.76"
"AZE","","TOTAL","FEMALE","2003","1.3"
"AZE","","TOTAL","FEMALE","2004","0.53"
"AZE","","TOTAL","FEMALE","2007","0.3"
"BEL","","TOTAL","FEMALE","1968","7.67"
"BEL","","TOTAL","FEMALE","1969","8.21"
"BEL","","TOTAL","FEMALE","1970","9.12"
"BEL","","TOTAL","FEMALE","1971","10.17"
"BEL","","TOTAL","FEMALE","1972","8.89"
"BEL","","TOTAL","FEMALE","1973","10.31"
"BEL","","TOTAL","FEMALE","1974","10.81"
"BEL","","TOTAL","FEMALE","1975","13.38"
"BEL","","TOTAL","FEMALE","1976","14"
"BEL","","TOTAL","FEMALE","1977","11.69"
"BEL","","TOTAL","FEMALE","1978","13.22"
"BEL","","TOTAL","FEMALE","1979","12.5"
"BEL","","TOTAL","FEMALE","1980","14.57"
"BEL","","TOTAL","FEMALE","1981","8.2"
"BEL","","TOTAL","FEMALE","1982","2.99"
"BEL","","TOTAL","FEMALE","1983","2.67"
"BEL","","TOTAL","FEMALE","1984","2.57"
"BEL","","TOTAL","FEMALE","1985","4.63"
"BEL","","TOTAL","FEMALE","1986","3.39"
"BEL","","TOTAL","FEMALE","1987","2.12"
"BEL","","TOTAL","FEMALE","1988","1.61"
"BEL","","TOTAL","FEMALE","1989","2.61"
"BEL","","TOTAL","FEMALE","1990","2.93"
"BEL","","TOTAL","FEMALE","1991","2.4"
"BEL","","TOTAL","FEMALE","1992","3.3"
"BEL","","TOTAL","FEMALE","1993","14.06"
