"INDICATOR","HFAMDB_657"

"HFAMDB_657","Mental and behavioural disorders, number of deaths, by sex"

"UNIT_TYPE","Unit"
"NUM_DTH","number of deaths"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFAMDB","European mortality database (MDB)"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFAMDB","European mortality database (MDB)"

"DATA_MASK","Mask for controlling the output format of values"

"AGE_GRP_LIST","Age group"
"TOTAL","Total"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","AGE_GRP_LIST","SEX","YEAR","VALUE"
"ALB","","TOTAL","FEMALE","1987","0"
"ALB","","TOTAL","FEMALE","1988","0"
"ALB","","TOTAL","FEMALE","1989","0"
"ALB","","TOTAL","FEMALE","1992","0"
"ALB","","TOTAL","FEMALE","1993","42"
"ALB","","TOTAL","FEMALE","1994","49"
"ALB","","TOTAL","FEMALE","1995","38"
"ALB","","TOTAL","FEMALE","1996","31"
"ALB","","TOTAL","FEMALE","1997","27"
"ALB","","TOTAL","FEMALE","1998","42"
"ALB","","TOTAL","FEMALE","1999","21"
"ALB","","TOTAL","FEMALE","2000","27"
"ALB","","TOTAL","FEMALE","2001","58"
"ALB","","TOTAL","FEMALE","2002","40"
"ALB","","TOTAL","FEMALE","2003","36"
"ALB","","TOTAL","FEMALE","2004","55"
"ALB","","TOTAL","FEMALE","2005","71"
"ALB","","TOTAL","FEMALE","2006","51"
"ALB","","TOTAL","FEMALE","2007","23"
"ALB","","TOTAL","FEMALE","2008","25"
"ALB","","TOTAL","FEMALE","2009","23"
"AND","","TOTAL","FEMALE","2011","6"
"AND","","TOTAL","FEMALE","2012","8"
"AND","","TOTAL","FEMALE","2013","8"
"AND","","TOTAL","FEMALE","2014","7"
"AND","","TOTAL","FEMALE","2015","14"
"AND","","TOTAL","FEMALE","2016","6"
"AND","","TOTAL","FEMALE","2017","13"
"AND","","TOTAL","FEMALE","2018","4"
"AND","","TOTAL","FEMALE","2019","7"
"AND","","TOTAL","FEMALE","2020","4"
"ARM","","TOTAL","FEMALE","1981","20"
"ARM","","TOTAL","FEMALE","1982","7"
"ARM","","TOTAL","FEMALE","1985","33"
"ARM","","TOTAL","FEMALE","1986","16"
"ARM","","TOTAL","FEMALE","1987","16"
"ARM","","TOTAL","FEMALE","1988","17"
"ARM","","TOTAL","FEMALE","1989","29"
"ARM","","TOTAL","FEMALE","1990","21"
"ARM","","TOTAL","FEMALE","1991","33"
"ARM","","TOTAL","FEMALE","1992","24"
"ARM","","TOTAL","FEMALE","1993","60"
"ARM","","TOTAL","FEMALE","1994","51"
"ARM","","TOTAL","FEMALE","1995","57"
"ARM","","TOTAL","FEMALE","1996","46"
"ARM","","TOTAL","FEMALE","1997","39"
"ARM","","TOTAL","FEMALE","1998","32"
"ARM","","TOTAL","FEMALE","1999","37"
"ARM","","TOTAL","FEMALE","2000","23"
"ARM","","TOTAL","FEMALE","2001","29"
"ARM","","TOTAL","FEMALE","2002","35"
"ARM","","TOTAL","FEMALE","2003","12"
"ARM","","TOTAL","FEMALE","2006","7"
"ARM","","TOTAL","FEMALE","2007","10"
"ARM","","TOTAL","FEMALE","2008","4"
"ARM","","TOTAL","FEMALE","2009","3"
"ARM","","TOTAL","FEMALE","2010","2"
"ARM","","TOTAL","FEMALE","2011","4"
"ARM","","TOTAL","FEMALE","2012","2"
"ARM","","TOTAL","FEMALE","2013","1"
"ARM","","TOTAL","FEMALE","2014","4"
"ARM","","TOTAL","FEMALE","2015","8"
"ARM","","TOTAL","FEMALE","2016","2"
"ARM","","TOTAL","FEMALE","2017","3"
"ARM","","TOTAL","FEMALE","2018","5"
"ARM","","TOTAL","FEMALE","2019","7"
"AUT","","TOTAL","FEMALE","1969","135"
"AUT","","TOTAL","FEMALE","1970","127"
"AUT","","TOTAL","FEMALE","1971","139"
"AUT","","TOTAL","FEMALE","1972","112"
"AUT","","TOTAL","FEMALE","1973","159"
"AUT","","TOTAL","FEMALE","1974","125"
"AUT","","TOTAL","FEMALE","1975","141"
"AUT","","TOTAL","FEMALE","1976","98"
"AUT","","TOTAL","FEMALE","1977","100"
"AUT","","TOTAL","FEMALE","1978","92"
"AUT","","TOTAL","FEMALE","1979","68"
"AUT","","TOTAL","FEMALE","1980","59"
"AUT","","TOTAL","FEMALE","1981","94"
"AUT","","TOTAL","FEMALE","1982","114"
"AUT","","TOTAL","FEMALE","1983","106"
"AUT","","TOTAL","FEMALE","1984","142"
"AUT","","TOTAL","FEMALE","1985","127"
"AUT","","TOTAL","FEMALE","1986","109"
"AUT","","TOTAL","FEMALE","1987","78"
"AUT","","TOTAL","FEMALE","1988","100"
"AUT","","TOTAL","FEMALE","1989","102"
"AUT","","TOTAL","FEMALE","1990","65"
"AUT","","TOTAL","FEMALE","1991","68"
"AUT","","TOTAL","FEMALE","1992","69"
"AUT","","TOTAL","FEMALE","1993","63"
"AUT","","TOTAL","FEMALE","1994","67"
"AUT","","TOTAL","FEMALE","1995","95"
"AUT","","TOTAL","FEMALE","1996","89"
"AUT","","TOTAL","FEMALE","1997","80"
"AUT","","TOTAL","FEMALE","1998","69"
"AUT","","TOTAL","FEMALE","1999","92"
"AUT","","TOTAL","FEMALE","2000","95"
"AUT","","TOTAL","FEMALE","2001","110"
"AUT","","TOTAL","FEMALE","2002","102"
"AUT","","TOTAL","FEMALE","2003","108"
"AUT","","TOTAL","FEMALE","2004","145"
"AUT","","TOTAL","FEMALE","2005","186"
"AUT","","TOTAL","FEMALE","2006","180"
"AUT","","TOTAL","FEMALE","2007","201"
"AUT","","TOTAL","FEMALE","2008","274"
"AUT","","TOTAL","FEMALE","2009","259"
"AUT","","TOTAL","FEMALE","2010","281"
"AUT","","TOTAL","FEMALE","2011","334"
"AUT","","TOTAL","FEMALE","2012","501"
"AUT","","TOTAL","FEMALE","2013","799"
"AUT","","TOTAL","FEMALE","2014","769"
"AUT","","TOTAL","FEMALE","2015","921"
"AUT","","TOTAL","FEMALE","2016","1158"
"AUT","","TOTAL","FEMALE","2017","1823"
"AUT","","TOTAL","FEMALE","2018","2000"
"AUT","","TOTAL","FEMALE","2019","1974"
"AUT","","TOTAL","FEMALE","2020","1841"
"AZE","","TOTAL","FEMALE","1981","26"
"AZE","","TOTAL","FEMALE","1982","27"
"AZE","","TOTAL","FEMALE","1985","17"
"AZE","","TOTAL","FEMALE","1986","14"
"AZE","","TOTAL","FEMALE","1987","7"
"AZE","","TOTAL","FEMALE","1988","18"
"AZE","","TOTAL","FEMALE","1989","18"
"AZE","","TOTAL","FEMALE","1990","2"
"AZE","","TOTAL","FEMALE","1991","3"
"AZE","","TOTAL","FEMALE","1992","1"
"AZE","","TOTAL","FEMALE","1993","11"
"AZE","","TOTAL","FEMALE","1994","125"
"AZE","","TOTAL","FEMALE","1995","92"
"AZE","","TOTAL","FEMALE","1996","69"
"AZE","","TOTAL","FEMALE","1997","70"
"AZE","","TOTAL","FEMALE","1998","73"
"AZE","","TOTAL","FEMALE","1999","48"
"AZE","","TOTAL","FEMALE","2000","42"
"AZE","","TOTAL","FEMALE","2001","23"
"AZE","","TOTAL","FEMALE","2002","29"
"AZE","","TOTAL","FEMALE","2003","43"
"AZE","","TOTAL","FEMALE","2004","16"
"AZE","","TOTAL","FEMALE","2007","11"
"BEL","","TOTAL","FEMALE","1968","459"
"BEL","","TOTAL","FEMALE","1969","485"
"BEL","","TOTAL","FEMALE","1970","557"
"BEL","","TOTAL","FEMALE","1971","618"
"BEL","","TOTAL","FEMALE","1972","556"
"BEL","","TOTAL","FEMALE","1973","670"
"BEL","","TOTAL","FEMALE","1974","711"
"BEL","","TOTAL","FEMALE","1975","890"
"BEL","","TOTAL","FEMALE","1976","957"
"BEL","","TOTAL","FEMALE","1977","816"
"BEL","","TOTAL","FEMALE","1978","905"
"BEL","","TOTAL","FEMALE","1979","926"
"BEL","","TOTAL","FEMALE","1980","1077"
"BEL","","TOTAL","FEMALE","1981","629"
"BEL","","TOTAL","FEMALE","1982","195"
"BEL","","TOTAL","FEMALE","1983","177"
"BEL","","TOTAL","FEMALE","1984","172"
"BEL","","TOTAL","FEMALE","1985","372"
"BEL","","TOTAL","FEMALE","1986","260"
"BEL","","TOTAL","FEMALE","1987","141"
"BEL","","TOTAL","FEMALE","1988","102"
"BEL","","TOTAL","FEMALE","1989","186"
"BEL","","TOTAL","FEMALE","1990","245"
"BEL","","TOTAL","FEMALE","1991","169"
