COUNTRY,SEX,YEAR,VALUE
"ALB","ALL","1990","2063.56"
"ALB","FEMALE","1990","1701.26"
"ALB","MALE","1990","2405.17"
"ALB","ALL","1991","2085.21"
"ALB","FEMALE","1991","1723.76"
"ALB","MALE","1991","2427.59"
"ALB","ALL","1992","2101.31"
"ALB","FEMALE","1992","1740.95"
"ALB","MALE","1992","2444.48"
"ALB","ALL","1993","2111.93"
"ALB","FEMALE","1993","1753.00"
"ALB","MALE","1993","2455.75"
"ALB","ALL","1994","2117.14"
"ALB","FEMALE","1994","1760.10"
"ALB","MALE","1994","2461.28"
"ALB","ALL","1995","2117.05"
"ALB","FEMALE","1995","1762.53"
"ALB","MALE","1995","2460.99"
"ALB","ALL","1996","2110.11"
"ALB","FEMALE","1996","1758.15"
"ALB","MALE","1996","2453.73"
"ALB","ALL","1997","2100.25"
"ALB","FEMALE","1997","1747.96"
"ALB","MALE","1997","2443.55"
"ALB","ALL","1998","2085.69"
"ALB","FEMALE","1998","1733.11"
"ALB","MALE","1998","2428.75"
"ALB","ALL","1999","2060.69"
"ALB","FEMALE","1999","1713.32"
"ALB","MALE","1999","2403.89"
"ALB","ALL","2000","2036.48"
"ALB","FEMALE","2000","1694.13"
"ALB","MALE","2000","2379.17"
"ALB","ALL","2001","2014.44"
"ALB","FEMALE","2001","1674.61"
"ALB","MALE","2001","2355.61"
"ALB","ALL","2002","1988.17"
"ALB","FEMALE","2002","1651.19"
"ALB","MALE","2002","2326.92"
"ALB","ALL","2003","1960.35"
"ALB","FEMALE","2003","1626.37"
"ALB","MALE","2003","2296.09"
"ALB","ALL","2004","1933.25"
"ALB","FEMALE","2004","1602.42"
"ALB","MALE","2004","2265.63"
"ALB","ALL","2005","1909.36"
"ALB","FEMALE","2005","1581.78"
"ALB","MALE","2005","2238.10"
"ALB","ALL","2006","1886.85"
"ALB","FEMALE","2006","1562.60"
"ALB","MALE","2006","2211.69"
"ALB","ALL","2007","1863.49"
"ALB","FEMALE","2007","1542.52"
"ALB","MALE","2007","2184.42"
"ALB","ALL","2008","1840.82"
"ALB","FEMALE","2008","1522.94"
"ALB","MALE","2008","2158.07"
"ALB","ALL","2009","1820.40"
"ALB","FEMALE","2009","1505.23"
"ALB","MALE","2009","2134.42"
"ALB","ALL","2010","1803.73"
"ALB","FEMALE","2010","1490.77"
"ALB","MALE","2010","2115.07"
"ALB","ALL","2011","1790.72"
"ALB","FEMALE","2011","1479.66"
"ALB","MALE","2011","2099.81"
"ALB","ALL","2012","1780.10"
"ALB","FEMALE","2012","1470.84"
"ALB","MALE","2012","2087.23"
"ALB","ALL","2013","1770.81"
"ALB","FEMALE","2013","1463.38"
"ALB","MALE","2013","2076.33"
"ALB","ALL","2014","1762.63"
"ALB","FEMALE","2014","1456.60"
"ALB","MALE","2014","2067.07"
"ALB","ALL","2015","1755.77"
"ALB","FEMALE","2015","1450.05"
"ALB","MALE","2015","2059.85"
"ALB","ALL","2016","1751.77"
"ALB","FEMALE","2016","1445.97"
"ALB","MALE","2016","2055.88"
"ALB","ALL","2017","1746.74"
"ALB","FEMALE","2017","1441.10"
"ALB","MALE","2017","2050.93"
"ALB","ALL","2018","1738.21"
"ALB","FEMALE","2018","1432.43"
"ALB","MALE","2018","2042.78"
"ALB","ALL","2019","1728.54"
"ALB","FEMALE","2019","1422.52"
"ALB","MALE","2019","2033.56"
"AND","ALL","1990","1776.66"
"AND","FEMALE","1990","1337.17"
"AND","MALE","1990","2164.29"
"AND","ALL","1991","1785.48"
"AND","FEMALE","1991","1341.33"
"AND","MALE","1991","2174.62"
"AND","ALL","1992","1788.11"
"AND","FEMALE","1992","1344.40"
"AND","MALE","1992","2179.19"
"AND","ALL","1993","1793.86"
"AND","FEMALE","1993","1349.38"
"AND","MALE","1993","2183.21"
"AND","ALL","1994","1790.43"
"AND","FEMALE","1994","1350.61"
"AND","MALE","1994","2180.57"
"AND","ALL","1995","1785.46"
"AND","FEMALE","1995","1350.82"
"AND","MALE","1995","2175.55"
