"INDICATOR","HFA_391"

"HFA_391","Prevalence of mental disorders (%)"

"UNIT_TYPE","Unit"
"PERCENT","%"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"RATIO","Ratio"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"ALB","","ALL","2010","0.86"
"ALB","","ALL","2011","0.94"
"ALB","","ALL","2012","0.93"
"ALB","","ALL","2013","0.94"
"ALB","","ALL","2014","0.95"
"ALB","","ALL","2015","1.24"
"ALB","","ALL","2016","1.26"
"ALB","","ALL","2017","1.17"
"ARM","","ALL","1980","0.86"
"ARM","","ALL","1981","1.18"
"ARM","","ALL","1982","0.97"
"ARM","","ALL","1983","1"
"ARM","","ALL","1984","1.05"
"ARM","","ALL","1985","1.06"
"ARM","","ALL","1986","1.05"
"ARM","","ALL","1987","1.06"
"ARM","","ALL","1988","1.08"
"ARM","","ALL","1989","1.07"
"ARM","","ALL","1990","1.11"
"ARM","","ALL","1991","1"
"ARM","","ALL","1992","0.97"
"ARM","","ALL","1993","1.04"
"ARM","","ALL","1994","1.06"
"ARM","","ALL","1995","1.08"
"ARM","","ALL","1996","1.09"
"ARM","","ALL","1997","1.02"
"ARM","","ALL","1998","0.98"
"ARM","","ALL","1999","1"
"ARM","","ALL","2000","1.01"
"ARM","","ALL","2001","1.04"
"ARM","","ALL","2002","1.08"
"ARM","","ALL","2003","1.12"
"ARM","","ALL","2004","1.05"
"ARM","","ALL","2005","1.18"
"ARM","","ALL","2006","1.25"
"ARM","","ALL","2007","1.31"
"ARM","","ALL","2008","1.33"
"ARM","","ALL","2009","1.37"
"ARM","","ALL","2010","1.42"
"ARM","","ALL","2011","1.38"
"ARM","","ALL","2012","1.5"
"ARM","","ALL","2013","1.52"
"ARM","","ALL","2014","1.68"
"ARM","","ALL","2015","1.7"
"ARM","","ALL","2016","1.72"
"ARM","","ALL","2017","1.81"
"ARM","","ALL","2018","1.87"
"ARM","","ALL","2019","1.93"
"AUT","","ALL","1990","1"
"AUT","","ALL","1991","0.97"
"AZE","","ALL","1990","1.13"
"AZE","","ALL","1991","1.01"
"AZE","","ALL","1992","1.01"
"AZE","","ALL","1993","1.07"
"AZE","","ALL","1994","1.07"
"AZE","","ALL","1995","1.06"
"AZE","","ALL","1996","1.05"
"AZE","","ALL","1997","1.07"
"AZE","","ALL","1998","1.12"
"AZE","","ALL","1999","1.12"
"AZE","","ALL","2000","1.03"
"AZE","","ALL","2001","1.22"
"AZE","","ALL","2002","1.25"
"AZE","","ALL","2003","1.32"
"AZE","","ALL","2004","1.35"
"AZE","","ALL","2005","1.36"
"AZE","","ALL","2006","1.33"
"AZE","","ALL","2007","1.4"
"AZE","","ALL","2008","1.39"
"AZE","","ALL","2009","1.42"
"AZE","","ALL","2010","1.43"
"AZE","","ALL","2011","1.27"
"AZE","","ALL","2012","1.3"
"AZE","","ALL","2013","1.32"
"AZE","","ALL","2014","1.07"
"AZE","","ALL","2015","1"
"AZE","","ALL","2016","0.98"
"AZE","","ALL","2017","1.02"
"BEL","","ALL","1997","0.9"
"BEL","","ALL","1998","0.92"
"BEL","","ALL","1999","1.45"
"BEL","","ALL","2000","1.4"
"BEL","","ALL","2001","1.4"
"BEL","","ALL","2002","1.38"
"BEL","","ALL","2003","1.38"
"BEL","","ALL","2004","1.5"
"BEL","","ALL","2005","1.35"
"BEL","","ALL","2006","1.34"
"BEL","","ALL","2007","1.32"
"BEL","","ALL","2008","1.28"
"BEL","","ALL","2009","1.28"
"BEL","","ALL","2010","1.26"
"BEL","","ALL","2011","1.25"
"BEL","","ALL","2012","1.22"
"BEL","","ALL","2013","1.21"
"BEL","","ALL","2014","1.22"
"BEL","","ALL","2016","1.23"
"BEL","","ALL","2017","1.21"
"BEL","","ALL","2018","1.22"
"BGR","","ALL","1980","2.1"
"BGR","","ALL","1981","2.18"
"BGR","","ALL","1982","2.27"
"BGR","","ALL","1983","2.33"
"BGR","","ALL","1984","2.36"
"BGR","","ALL","1985","2.38"
"BGR","","ALL","1986","2.46"
"BGR","","ALL","1987","2.5"
"BGR","","ALL","1988","2.54"
"BGR","","ALL","1989","2.53"
"BGR","","ALL","1990","2.56"
"BGR","","ALL","1991","2.53"
"BGR","","ALL","1992","2.68"
"BGR","","ALL","1993","2.73"
"BGR","","ALL","1994","2.77"
"BGR","","ALL","1995","2.79"
"BGR","","ALL","1996","2.8"
"BGR","","ALL","1997","2.82"
"BGR","","ALL","1998","2.82"
"BGR","","ALL","1999","2.85"
"BGR","","ALL","2000","2.69"
"BGR","","ALL","2001","2.85"
"BGR","","ALL","2002","2.94"
"BGR","","ALL","2003","2.96"
"BGR","","ALL","2004","2.73"
"BGR","","ALL","2005","2.35"
"BGR","","ALL","2006","2.28"
"BGR","","ALL","2007","2.25"
"BGR","","ALL","2008","2.27"
"BGR","","ALL","2009","2.26"
"BGR","","ALL","2010","2.07"
"BGR","","ALL","2011","2.04"
"BGR","","ALL","2012","1.98"
"BGR","","ALL","2013","1.98"
"BGR","","ALL","2014","1.84"
"BGR","","ALL","2015","1.78"
"BGR","","ALL","2016","1.78"
"BGR","","ALL","2017","1.7"
"BGR","","ALL","2018","1.7"
"BGR","","ALL","2019","1.65"
"BIH","","ALL","1980","4.73"
"BIH","","ALL","1981","4.99"
"BIH","","ALL","1982","4.86"
"BIH","","ALL","1983","4.65"
"BIH","","ALL","1984","4.77"
"BIH","","ALL","1985","5.56"
"BIH","","ALL","1986","5.3"
"BIH","","ALL","1987","5.16"
"BIH","","ALL","1988","5.31"
"BIH","","ALL","1989","5.07"
"BIH","","ALL","1990","5.2"
"BIH","","ALL","1991","4.52"
"BIH","","ALL","1999","2.17"
"BIH","","ALL","2000","2.21"
"BIH","","ALL","2001","1.9"
"BIH","","ALL","2002","1.8"
"BIH","","ALL","2003","1.79"
"BIH","","ALL","2004","1.74"
"BIH","","ALL","2005","1.97"
"BIH","","ALL","2006","2.19"
"BIH","","ALL","2007","2.13"
"BIH","","ALL","2008","2.47"
"BIH","","ALL","2009","2.56"
"BIH","","ALL","2010","2.76"
"BIH","","ALL","2011","2.84"
"BIH","","ALL","2012","3"
"BIH","","ALL","2013","3.23"
"BIH","","ALL","2014","3.16"
"BIH","","ALL","2015","3.08"
"BIH","","ALL","2016","3.11"
"BIH","","ALL","2017","3.41"
"BIH","","ALL","2018","3.51"
"BIH","","ALL","2019","3.15"
"BLR","","ALL","1993","1.37"
"BLR","","ALL","1994","1.36"
"BLR","","ALL","1995","1.36"
"BLR","","ALL","1996","1.31"
"BLR","","ALL","1997","1.3"
"BLR","","ALL","1998","1.29"
"BLR","","ALL","1999","1.29"
"BLR","","ALL","2000","1.28"
"BLR","","ALL","2001","1.27"
"BLR","","ALL","2002","1.26"
"BLR","","ALL","2003","1.25"
"BLR","","ALL","2004","1.23"
"BLR","","ALL","2005","1.23"
"BLR","","ALL","2006","1.18"
"BLR","","ALL","2007","1.14"
"BLR","","ALL","2008","1.15"
"BLR","","ALL","2009","1.08"
"BLR","","ALL","2010","1.1"
"BLR","","ALL","2011","1.09"
"BLR","","ALL","2012","1.09"
"BLR","","ALL","2013","1.12"
"BLR","","ALL","2014","1.13"
"BLR","","ALL","2015","1.13"
"BLR","","ALL","2016","1.14"
"BLR","","ALL","2017","1.14"
"BLR","","ALL","2018","1.14"
"BLR","","ALL","2019","1.15"
"","CARINFONET","ALL","1990","2.03"
"","CARINFONET","ALL","1991","2.09"
"","CARINFONET","ALL","1992","1.88"
"","CARINFONET","ALL","1993","1.89"
"","CARINFONET","ALL","1994","1.84"
"","CARINFONET","ALL","1995","1.76"
"","CARINFONET","ALL","1996","1.61"
"","CARINFONET","ALL","1997","1.63"
"","CARINFONET","ALL","1998","1.75"
"","CARINFONET","ALL","1999","1.86"
"","CARINFONET","ALL","2000","1.94"
"","CARINFONET","ALL","2001","1.95"
"","CARINFONET","ALL","2002","1.98"
"","CARINFONET","ALL","2003","2.01"
"","CARINFONET","ALL","2004","2.01"
"","CARINFONET","ALL","2005","1.98"
"","CARINFONET","ALL","2006","2.17"
"","CARINFONET","ALL","2007","2.09"
"","CARINFONET","ALL","2008","2.05"
"","CARINFONET","ALL","2009","1.87"
"","CARINFONET","ALL","2010","1.81"
"","CARINFONET","ALL","2011","1.68"
"","CARINFONET","ALL","2012","1.48"
"","CARINFONET","ALL","2013","1.41"
"","CARINFONET","ALL","2014","1.35"
"","CARINFONET","ALL","2015","1.3"
"","CARINFONET","ALL","2016","1.3"
"","CARINFONET","ALL","2017","1.23"
"","CARINFONET","ALL","2018","1.18"
"","CARINFONET","ALL","2019","1.15"
"","CIS","ALL","1990","2.46"
"","CIS","ALL","1991","2.45"
"","CIS","ALL","1992","2.41"
"","CIS","ALL","1993","2.46"
"","CIS","ALL","1994","2.44"
"","CIS","ALL","1995","2.46"
"","CIS","ALL","1996","2.43"
"","CIS","ALL","1997","2.46"
"","CIS","ALL","1998","2.52"
"","CIS","ALL","1999","2.57"
"","CIS","ALL","2000","2.62"
"","CIS","ALL","2001","2.65"
"","CIS","ALL","2002","2.7"
"","CIS","ALL","2003","2.71"
"","CIS","ALL","2004","2.73"
"","CIS","ALL","2005","2.76"
"","CIS","ALL","2006","2.81"
"","CIS","ALL","2007","2.79"
"","CIS","ALL","2008","2.78"
"","CIS","ALL","2009","2.73"
"","CIS","ALL","2010","2.69"
"","CIS","ALL","2011","2.76"
"","CIS","ALL","2012","2.69"
"","CIS","ALL","2013","2.67"
"","CIS","ALL","2014","2.53"
"","CIS","ALL","2015","2.49"
"","CIS","ALL","2017","2.4"
"","CIS","ALL","2018","2.37"
"","CIS","ALL","2019","2.35"
"CZE","","ALL","1998","3.29"
"CZE","","ALL","1999","3.4"
"CZE","","ALL","2000","3.55"
"CZE","","ALL","2001","3.69"
"CZE","","ALL","2002","4.09"
"CZE","","ALL","2003","4.14"
"CZE","","ALL","2004","4.48"
"CZE","","ALL","2005","4.58"
"CZE","","ALL","2006","4.71"
"CZE","","ALL","2007","4.6"
"CZE","","ALL","2008","4.5"
"CZE","","ALL","2009","4.72"
"CZE","","ALL","2010","4.73"
"CZE","","ALL","2011","5.28"
"CZE","","ALL","2012","5.44"
"CZE","","ALL","2013","5.61"
"CZE","","ALL","2015","5.6"
"CZE","","ALL","2016","5.78"
"CZE","","ALL","2017","5.91"
"CZE","","ALL","2018","5.98"
"CZE","","ALL","2019","5.7"
"DEU","","ALL","2012","9.03"
"DNK","","ALL","1985","0.14"
"DNK","","ALL","1986","0.14"
"DNK","","ALL","1987","0.14"
"DNK","","ALL","1988","0.13"
"DNK","","ALL","1989","0.13"
"DNK","","ALL","1990","0.13"
